Excel Sheet Name,Written By,Description,Important
nt_evd-fgev_fGumbel,stats_graphs_dnt.r,Non thunderstorm. Fitting Gumbel using evd::fgev,Do not use
nt_bbmle-mle2,stats_graphs_dnt.r,Non thunderstorm. Fitting Gumbel using bbmle::mle2,Do not use
nt_nll-optim,stats_graphs_dnt.r,Non thunderstorm. Fitting Gumbel using negative likelihood and stats::optim,Do not use
nt_fitdistrplus-fitdist,stats_graphs_dnt.r,Non thunderstorm. Fitting Gumbel using fitdistrplus::fitdist,Do not use
nt_extRemes,stats_graphs_dnt.r,"Non thunderstorm. Calculation of return levels POT-Poisson-GPD, using extRemes::fevd",Do not use
nt_distLquantile_quant,stats_graphs_dnt.r,"Non thunderstorm. Calculation of return levels and RMSE (POT-Poisson-GPD and EVDs), using extremeStat::distLquantile",To compare with POT-PP
nt_distLquantile_parameters,stats_graphs_dnt.r,"Non thunderstorm. Calculation of fitting parameters POT-Poisson-GPD and EVD, using extremeStat::distLquantile",To compare with POT-PP
nt_distLextreme_returnlev,stats_graphs_dnt.r,"Non thunderstorm. Calculation of return levels POT-Poisson-GPD and EVD, using extremeStat::distLextreme",To compare with POT-PP
nt_distLextreme_parameter,stats_graphs_dnt.r,"Non thunderstorm. Calculation of fitting parameters POT-Poisson-GPD and EVD, using extremeStat::distLextreme",To compare with POT-PP
nt_POT-Poisson-GPD-Equivalent,,Non thunderstorm. For POT-PP and using POT-Poisson-GPD equivalent. Calculation of Goodness of Fit and RMSE ,Use as Goodness of Fit of POT-PP
t_evd-fgev_fGumbel,stats_graphs_dt.r,Thunderstorm. Fitting Gumbel using evd::fgev,Do not use
t_bbmle-mle2,stats_graphs_dt.r,Thunderstorm. Fitting Gumbel using bbmle::mle2,Do not use
t_nll-optim,stats_graphs_dt.r,Thunderstorm. Fitting Gumbel using negative likelihood and stats::optim,Do not use
t_fitdistrplus-fitdist,stats_graphs_dt.r,Thunderstorm. Fitting Gumbel using fitdistrplus::fitdist,Do not use
t_extRemes,stats_graphs_dt.r,"Thunderstorm. Calculation of return levels POT-Poisson-GPD, using extRemes::fevd",Do not use
t_distLquantile_quant,stats_graphs_dt.r,"Thunderstorm. Calculation of return levels and RMSE (POT-Poisson-GPD and EVDs), using extremeStat::distLquantile",To compare with POT-PP
t_distLquantile_parameters,stats_graphs_dt.r,"Thunderstorm. Calculation of fitting parameters POT-Poisson-GPD and EVD, using extremeStat::distLquantile",To compare with POT-PP
t_distLextreme_returnlev,stats_graphs_dt.r,"Thunderstorm. Calculation of return levels POT-Poisson-GPD and EVD, using extremeStat::distLextreme",To compare with POT-PP
t_distLextreme_parameter,stats_graphs_dt.r,"Thunderstorm. Calculation of fitting parameters POT-Poisson-GPD and EVD, using extremeStat::distLextreme",To compare with POT-PP
t_POT-Poisson-GPD-Equivalent,,Thunderstorm. For POT-PP and using POT-Poisson-GPD equivalent. Calculation of Goodness of Fit and RMSE ,Use as Goodness of Fit of POT-PP
